4to 05096820-a:0
8vo 05096408-n:0
a-horizon 08658469-n:0
a._testudineus 02556373-n:0
a_horizon 08658469-n:0
a_level 14431015-n:0
aba 02666079-n:0
abduct 01471043-v:0
abet 02549211-v:3
abjure 00798717-v:0
about-face 01909042-v:2
abrading_stone 02668613-n:0
abroach 01659762-a:0
abscond 02073714-v:0
abseiler 09757449-n:0
absentee_ballot 06476573-n:0
absinthe 11929477-n:0
absquatulate 02073714-v:0
abstract 00011757-a:5
abstracter 09755086-n:0
abstractor 09755086-n:0
academic_program 05909730-n:1
academy 08279298-n:5
accent 06822198-n:0 00983333-v:0
accent_mark 06822198-n:0
accentuate 00983333-v:0
acceptance 07176073-n:1
acceptor_rna 14833143-n:0
access 00281132-n:0
accession 00999568-v:0
acciaccatura 06871983-n:0
accidentally 00040547-r:1 00062650-r:0
accompanist 09760913-n:0
accompanyist 09760913-n:0
accordion 02672831-n:0
accounts_payable 13407561-n:0
accounts_receivable 13407208-n:0
accrete 00159368-v:0
accustomed 00489491-a:0
acetum 07828987-n:0
acetylsalicylic_acid 02748618-n:0
ache 14323683-n:2
achillea_millefolium 11916696-n:0
aching 14323683-n:0
acne_vulgaris 14222541-n:0
acocanthera_oblongifolia 11768505-n:0
acocanthera_spectabilis 11768505-n:0
aconite 11722982-n:0
acoraceae 11780747-n:0
acquirer 09764201-n:0
acroclinium 11917186-n:0
acrolein 14998290-n:0
acrylonitrile 14998677-n:0
acting_out 07014596-n:0
actinometer 02677436-n:1
action 00037396-n:94
activate 00190999-v:0
actualise 01644746-v:0
actualize 01644746-v:0
acuity 05655567-n:0
acute 06822576-n:0
acute_accent 06822576-n:0
acute_inclusion_body_encephalitis 14343062-n:0
add-in 03033986-n:0
addendum 06399631-n:0
address 00990812-v:4
adenoidectomy 00665970-n:0
adhesion 05584008-n:0
adjoin 01205696-v:0 00183383-v:0
adjusted 00352536-a:0
adjustment 00199707-n:3
administrative_law 08453108-n:0
adnate 02483386-a:0
adorn 01675963-v:3
adornment 02681518-n:0
adult-onset_diabetes 14118936-n:0
adult-onset_diabetes_mellitus 14118936-n:0
adult_female 10787470-n:0
advance_death_benefit 13297397-n:0
adverse_opinion 06782383-n:0
advertise 00976653-v:0
advertize 00976653-v:0
advice_and_consent 06535980-n:0
advisedly 00062330-r:1
advisory 06747008-n:0
adz 02682311-n:0
adze 02682311-n:0
aerate 02112891-v:0 00190999-v:0
aeration 13428159-n:5 00200244-n:0
aerator 02682569-n:11
aeriferous 02606762-a:0
aerify 00442267-v:0
aerobe 01326897-n:0
aerobiosis 11473685-n:0
aerodynamic_force 11422114-n:0
aerofoil 02688443-n:0
aerophagia 00840057-n:0
aerophyte 13122985-n:0
aerosol 02682922-n:0
aerosol_bomb 02682922-n:0
aerosol_can 02682922-n:0
aerosol_container 02682922-n:0
affair 13931889-n:5
affaire 13931889-n:0
affected 00073048-a:1
affiant 09776261-n:0
affix 01298283-v:0
affixed 00158701-a:6
affront 01225027-n:1
african-american_music 07025604-n:0
african_gray 01817953-n:0
african_grey 01817953-n:0
african_lily 12429352-n:0
african_tea 03608870-n:0
african_tulip 12429352-n:0
afterimage 05936130-n:0
afterpiece 07008544-n:0
aftersensation 05936130-n:0
aftershaft 01897257-n:0
agal 02684083-n:0
agapanthus_africanus 12429352-n:0
agave_atrovirens 12477747-n:0
agave_tequilana 12477983-n:0
age 15145171-n:6
agglomerate 07961480-n:0
agglutinating_activity 13428804-n:1
agglutination 13428804-n:0
aggravated 00114266-a:0
aggression 00964569-n:1 01221611-n:0
agitated 00085264-a:2
agitation 00554300-n:0 00333366-n:0
ague 06822576-n:0
aid 02547586-v:36
air 14841267-n:42 11431754-n:3 08499057-n:1 02112891-v:1 00488770-v:0
air-intake 02689961-n:0
air_cleaner 02688273-n:0
air_compressor 02686227-n:0
air_conditioner 02686379-n:0
air_conditioning 02686379-n:0
air_current 11525955-n:0
air_cushion 02687682-n:0 02687539-n:0
air_division 08219330-n:0
air_duct 02690941-n:0
air_filter 02688273-n:0
air_gas 14862481-n:0
air_hole 02689556-n:0
air_hose 02690270-n:0
air_lock 02690583-n:0
air_out 02112891-v:0 00488770-v:0
air_passage 02690941-n:0
air_plant 13122985-n:0
air_pump 02692513-n:0
air_spring 02687682-n:0
airborne_transmission 09191427-n:0
airfoil 02688443-n:0
airing 00266645-n:0
airing_cupboard 02689819-n:0
airline 02690270-n:0
airlock 02690583-n:0
airplane_propeller 02692086-n:0
airscrew 02692086-n:0
airway 02690941-n:4
akvavit 07902799-n:0
alabaster 14665351-n:2
alarm 06803157-n:0
alarm_bell 07265886-n:0
alarum 06803157-n:0
alb 02694966-n:0
albino 09781650-n:0
album 06591815-n:2
albuminuria 14265958-n:0
alcove 02696048-n:0
alder 12284665-n:0
alert 06803157-n:0
alexander_selcraig 11291824-n:0
alexander_selkirk 11291824-n:0
alfred_hitchcock 11052299-n:0
alfred_joseph_hitchcock 11052299-n:0
alignment 07415167-n:0
alkalinuria 14021118-n:0
alkaluria 14021118-n:0
alkanet 12817694-n:0
all_clear 06804097-n:0
all_right 00053004-r:24
all_the_same 00027384-r:1
allen_screw 02697576-n:0
allen_wrench 02697675-n:0
allmouth 02548247-n:0
allow 02423183-v:65
alloy 14586769-n:0
alloy_cast_iron 14715786-n:0
alloy_iron 14715786-n:0
alluvion 11454591-n:0
almond_cookie 07636126-n:0
almond_crescent 07636126-n:0
almond_tree 12644902-n:0
aloe 12436677-n:0
aloes 02698366-n:2
alpha_software 06566805-n:0
alphabetic_character 06828818-n:1
alphabetised 00100989-a:0
alphabetized 00100989-a:0
alpine_clover 11752798-n:0
alpine_woodsia 13202355-n:0
already 00031798-r:107
alright 00053004-r:0
alteration 00199707-n:2
alto_clef 06863086-n:0
alzheimer's 14396096-n:0
alzheimer's_disease 14396096-n:0
alzheimers 14396096-n:0
amalgam 14716550-n:0
amanita_phalloides 13003254-n:0
amanita_rubescens 13003522-n:0
amaranthus_cruentus 11823756-n:0
amaranthus_hybridus_erythrostachys 11823756-n:0
amaranthus_hybridus_hypochondriacus 11823756-n:0
amble 00284101-n:0
ambystoma_mexicanum 01632777-n:0
amebic_dysentery 14175313-n:0
amen 09511368-n:0
american_frogbit 12614096-n:0
american_mink 02443015-n:0
american_organ 02701730-n:0
american_white_oak 12270027-n:0
amerindian_race 09648176-n:0
amicus_curiae 09788237-n:3
aminoaciduria 14266168-n:0
amoebic_dysentery 14175313-n:0
amon 09511368-n:0
amour 13931889-n:0
amphicarpa_bracteata 12505253-n:0
amphicarpaea_bracteata 12505253-n:0
amphigory 06608035-n:0
amphoric 02618668-a:0
amulet 02706586-n:1
amun 09511368-n:0
amygdalaceae 12644464-n:0
anabas_testudineus 02556373-n:0
anaerobe 01327028-n:0
anal_personality 04619083-n:0
anal_retentive_personality 04619083-n:0
anarchy 13973059-n:2
anaspid 01475940-n:0
ancestor 09792555-n:2
ancestral 01314197-a:5
anchor 02709367-n:3
anchovy 07783667-n:0
